Companies,Keywords,Search,Search Engine,Title,Link,Time Stamp,Media name
Reliance,Merger,Reliance Merger,Bing,"Reliance AGM 2024 announcements: JioBrain, Jio AI Cloud Welcome Offer, Hotstar merger, and more",https://www.91mobiles.com/hub/reliance-agm-2024-announcements-jiobrain/,,91mobiles
Reliance,Merger,Reliance Merger,Bing,CCI approves merger of Reliance Industries' media assets with Walt Disney,https://www.indiatvnews.com/business/news/cci-approves-reliance-industries-media-assets-merger-with-walt-disney-competition-commission-india-mukesh-ambani-viacom-18-business-latest-updates-2024-08-28-949205,2024-08-28T17:17:07+05:30,India TV
Reliance,Merger,Reliance Merger,Bing,Reliance-Disney merger: A look at the combined assets,https://www.exchange4media.com/media-tv-news/reliance-disney-merger-a-look-at-the-combined-assets-136756.html,,Exchange 4 Media
Reliance,Merger,Reliance Merger,Bing,NCLT shows green light for merger of Reliance's Viacom18 and Disney's Star India,https://www.domain-b.com/management/m-a/nclt-shows-green-light-for-merger-of-reliance-s-viacom18-and-disney-s-star-india,,Domain-b
Reliance,Merger,Reliance Merger,Bing,"Reliance-Disney Deal: NCLT Clears Merger Of Viacom18, Star India: All You Need To Know",https://www.goodreturns.in/news/reliance-disney-deal-nclt-clears-merger-of-viacom18-star-india-all-you-need-to-know-1373437.html,,Goodreturns
Reliance,Merger,Reliance Merger,Bing,Disney-Reliance media merger approved: Who are their top rivals?,https://www.deccanherald.com/business/disney-reliance-media-merger-approved-who-are-theirtoprivals-3167452,,Deccan Herald
Reliance,Merger,Reliance Merger,Bing,Reliance Disney Merger: CCI Clears Deal; Check Mukesh & Nita Ambani’s Role In New Conglomerate,https://www.msn.com/en-in/foodanddrink/recipes/reliance-disney-merger-cci-clears-deal-check-mukesh-nita-ambani-s-role-in-new-conglomerate/ar-AA1pCRiP?ocid=BingNewsVerp,,India.com on MSN
Reliance,Merger,Reliance Merger,Bing,CCI approves Reliance-owned Viacom 18 and Disney’s $8.5 billion merger deal,https://timesofindia.indiatimes.com/technology/tech-news/cci-approves-reliance-owned-viacom-18-and-disneys-8-5-billion-merger-deal/articleshow/112876847.cms,,Indiatimes
Reliance,Merger,Reliance Merger,Bing,Mukesh Ambani's Reliance And Disney Merger Approved: $8.5 Billion Deal Gets CCI Nod,https://www.msn.com/en-in/money/topstories/mukesh-ambani-s-reliance-and-disney-merger-approved-8-5-billion-deal-gets-cci-nod/ar-AA1pAaeT?ocid=BingNewsVerp,,MSN
Reliance,Merger,Reliance Merger,Bing,"Reliance, Disney win approval for $8.5 billion India media assets merger",https://www.indiatoday.in/business/story/disney-reliance-win-competition-commission-of-india-approval-india-media-assets-merger-2589459-2024-08-28,2024-08-28T17:15:20+05:30,India Today
Reliance,Merger,Reliance Merger,Bing,Reliance-Disney Merger Approved; Nita Ambani to Chair New Entity: What’s The Net Worth Of Mukesh Ambani's Wife,https://www.msn.com/en-in/news/world/reliance-disney-merger-approved-nita-ambani-to-chair-new-entity-what-s-the-net-worth-of-mukesh-ambanis-wife/ar-AA1pA7sn?ocid=BingNewsVerp,,Times Now on MSN
Reliance,Merger,Reliance Merger,Bing,Content creators worry over limited options with likely JioCinema-Hotstar merger,https://www.livemint.com/industry/media/content-creators-jiocinema-disney-hotstar-reliance-ott-11725346956470.html,2024-09-03T14:04:15+05:30,Mint
